index,coordx,coordz
102,10725.0,10.0
103,10750.0,10.0
104,10775.0,10.0
105,10800.0,10.0
106,10825.0,10.0
107,10850.0,10.0
108,10875.0,10.0
109,10900.0,10.0
110,10925.0,10.0
111,10950.0,10.0
112,10975.0,10.0
113,11000.0,10.0
114,11025.0,10.0
115,11050.0,10.0
116,11075.0,10.0
117,11100.0,10.0
118,11125.0,10.0
119,11150.0,10.0
120,11175.0,10.0
121,11200.0,10.0
122,11225.0,10.0
123,11250.0,10.0
124,11275.0,10.0
125,11300.0,10.0
126,11325.0,10.0
127,11350.0,10.0
128,11375.0,10.0
129,11400.0,10.0
130,11425.0,10.0
131,11450.0,10.0
132,11475.0,10.0
133,11500.0,10.0
134,11525.0,10.0
135,11550.0,10.0
136,11575.0,10.0
137,11600.0,10.0
138,11625.0,10.0
139,11650.0,10.0
140,11675.0,10.0
141,11700.0,10.0
142,11725.0,10.0
143,11750.0,10.0
144,11775.0,10.0
145,11800.0,10.0
146,11825.0,10.0
147,11850.0,10.0
148,11875.0,10.0
149,11900.0,10.0
150,11925.0,10.0
151,11950.0,10.0
152,11975.0,10.0
153,12000.0,10.0
154,12025.0,10.0
155,12050.0,10.0
156,12075.0,10.0
157,12100.0,10.0
158,12125.0,10.0
159,12150.0,10.0
160,12175.0,10.0
161,12200.0,10.0
162,12225.0,10.0
163,12250.0,10.0
164,12275.0,10.0
165,12300.0,10.0
166,12325.0,10.0
167,12350.0,10.0
168,12375.0,10.0
169,12400.0,10.0
170,12425.0,10.0
171,12450.0,10.0
172,12475.0,10.0
173,12500.0,10.0
174,12525.0,10.0
175,12550.0,10.0
176,12575.0,10.0
177,12600.0,10.0
178,12625.0,10.0
179,12650.0,10.0
180,12675.0,10.0
181,12700.0,10.0
182,12725.0,10.0
183,12750.0,10.0
184,12775.0,10.0
185,12800.0,10.0
186,12825.0,10.0
187,12850.0,10.0
188,12875.0,10.0
189,12900.0,10.0
190,12925.0,10.0
191,12950.0,10.0
192,12975.0,10.0
193,13000.0,10.0
194,13025.0,10.0
195,13050.0,10.0
196,13075.0,10.0
197,13100.0,10.0
198,13125.0,10.0
199,13150.0,10.0
200,13175.0,10.0
201,13200.0,10.0
202,13225.0,10.0
203,13250.0,10.0
204,13275.0,10.0
205,13300.0,10.0
206,13325.0,10.0
207,13350.0,10.0
208,13375.0,10.0
